,fold,line_no,doc_offset,corpus_span,correct_span,target_line,context,correct_line
0,test,1131,3,"[21, 37): 'SKIING-WORLD CUP'","[28, 37): 'WORLD CUP'",SKIING-WORLD NNP I-NP I-MISC,"FREESTYLE NNP I-NP O
SKIING-WORLD NNP I-NP I-MISC
CUP NNP I-NP I-MISC
MOGUL NNP I-NP O",[Enter here]
1,test,5687,25,"[24, 38): 'FOOTBALL-COLTS'","[33, 38): 'COLTS'",FOOTBALL-COLTS NNS I-NP O,"NFL NNP I-NP I-ORG
AMERICAN NNP I-NP O
FOOTBALL-COLTS NNS I-NP O
CLOBBER NNP I-NP O
EAGLES NNP I-NP I-ORG",[Enter here]
2,test,6545,27,"[565, 573): 'X-DENVER'","[567, 573): 'DENVER'",X-DENVER NNP I-NP I-MISC,"PA NNP I-NP O

X-DENVER NNP I-NP I-MISC
12 CD I-NP O
1 CD I-NP O",[Enter here]
3,test,6640,27,"[889, 900): 'Y-GREEN BAY'","[891, 900): 'GREEN BAY'",Y-GREEN NNP I-NP I-MISC,"PA NNP I-NP O

Y-GREEN NNP I-NP I-MISC
BAY NNP I-NP I-MISC
10 CD I-NP O",[Enter here]
4,test,6851,29,"[25, 44): 'FOOTBALL-OHIO STATE'","[34, 44): 'OHIO STATE'",FOOTBALL-OHIO NNP I-NP I-MISC,"NCAA NNP I-NP I-ORG
AMERICAN NNP I-NP O
FOOTBALL-OHIO NNP I-NP I-MISC
STATE NNP I-NP I-MISC
'S POS B-NP O",[Enter here]
5,test,8644,39,"[1158, 1175): 'AbelardoFernandez'","[1158, 1175): 'Abelardo Fernandez'",AbelardoFernandez NNS I-NP I-PER,"25-1 NNP I-NP O

AbelardoFernandez NNS I-NP I-PER

40-1 JJ I-NP O",[Enter here]
6,test,8709,40,"[215, 236): 'Real Madrid-Barcelona'","[215, 226): 'Real Madrid'",Real NNP I-NP I-MISC,"'s POS B-NP O
big JJ I-NP O
Real NNP I-NP I-MISC
Madrid-Barcelona NNP I-NP I-MISC
game NN I-NP O",[Enter here]
7,test,8709,40,"[215, 236): 'Real Madrid-Barcelona'","[227, 236): 'Barcelona'",Real NNP I-NP I-MISC,"'s POS B-NP O
big JJ I-NP O
Real NNP I-NP I-MISC
Madrid-Barcelona NNP I-NP I-MISC
game NN I-NP O",[Enter here]
8,test,12068,54,"[11, 27): 'INTERVIEW-ZYWIEC'","[21, 27): 'ZYWIEC'",INTERVIEW-ZYWIEC NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

INTERVIEW-ZYWIEC NNP I-NP I-MISC
SEES NNP I-NP O
NO DT I-NP O",[Enter here]
9,test,13001,56,"[11, 16): 'UK-US'","[11, 13): 'UK'",UK-US NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

UK-US NNP I-NP I-MISC
open JJ I-NP O
skies NNS I-NP O",[Enter here]
10,test,13001,56,"[11, 16): 'UK-US'","[14, 16): 'US'",UK-US NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

UK-US NNP I-NP I-MISC
open JJ I-NP O
skies NNS I-NP O",[Enter here]
11,test,14467,63,"[19, 39): 'office-Conservatives'","[26, 39): 'Conservatives'",office-Conservatives JJ I-NP I-MISC,"Major NNP I-NP I-PER
's POS B-NP O
office-Conservatives JJ I-NP I-MISC
still RB I-ADVP O
have VB I-VP O",[Enter here]
12,test,16319,75,"[2736, 2752): 'Newmont-Santa Fe'","[2736, 2743): 'Newmont'",Newmont-Santa NNP I-NP I-MISC,"( ( O O
a DT I-NP O
Newmont-Santa NNP I-NP I-MISC
Fe NNP I-NP I-MISC
deal NN I-NP O",[Enter here]
13,test,16319,75,"[2736, 2752): 'Newmont-Santa Fe'","[2744, 2752): 'Santa Fe'",Newmont-Santa NNP I-NP I-MISC,"( ( O O
a DT I-NP O
Newmont-Santa NNP I-NP I-MISC
Fe NNP I-NP I-MISC
deal NN I-NP O",[Enter here]
14,test,26720,114,"[11, 17): 'Iowa-S'","[11, 15): 'Iowa'",Iowa-S NNP I-NP I-LOC,"-DOCSTART- -X- -X- O

Iowa-S NNP I-NP I-LOC
Minn NNP I-NP B-LOC
fed VBN I-VP O",[Enter here]
15,test,26721,114,"[18, 22): 'Minn'","[16, 22): 'S Minn'",Minn NNP I-NP B-LOC,"Iowa-S NNP I-NP I-LOC
Minn NNP I-NP B-LOC
fed VBN I-VP O
cattle NNS I-NP O",[Enter here]
16,test,26728,114,"[51, 61): 'sales-USDA'","[57, 61): 'USDA'",sales-USDA NN I-NP I-MISC,", , O O
no DT I-NP O
sales-USDA NN I-NP I-MISC
. . O O",[Enter here]
17,test,28718,123,"[11, 17): 'Iowa-S'","[11, 15): 'Iowa'",Iowa-S NNP I-NP I-LOC,"-DOCSTART- -X- -X- O

Iowa-S NNP I-NP I-LOC
Minn NNP I-NP B-LOC
feedlot NN I-NP O",[Enter here]
18,test,28719,123,"[18, 22): 'Minn'","[16, 22): 'S Minn'",Minn NNP I-NP B-LOC,"Iowa-S NNP I-NP I-LOC
Minn NNP I-NP B-LOC
feedlot NN I-NP O
cattle NNS I-NP O",[Enter here]
19,test,38688,178,"[951, 960): 'then-U.S.'","[956, 960): 'U.S.'",then-U.S. JJ I-NP I-MISC,"vandalism NN I-NP O
, , O O
then-U.S. JJ I-NP I-MISC
Trade NNP I-NP O
Representative NNP I-NP O",[Enter here]
20,test,39979,183,"[18, 35): 'SKIING-GLADISHIVA'","[25, 35): 'GLADISHIVA'",SKIING-GLADISHIVA NNP I-NP I-MISC,"ALPINE NNP I-NP O
SKIING-GLADISHIVA NNP I-NP I-MISC
WINS VBZ I-VP O
WORLD NN I-NP I-MISC",[Enter here]
21,test,40619,186,"[1398, 1409): 'Austria)118'","[1398, 1405): 'Austria'",Austria)118 NNP I-NP O,"Meissnitzer NNP I-NP I-PER
( ( O O
Austria)118 NNP I-NP O

15. CD I-NP O",[Enter here]
22,test,41169,188,"[18, 34): 'SKIING-WORLD CUP'","[25, 34): 'WORLD CUP'",SKIING-WORLD NNP I-NP I-MISC,"NORDIC NNP I-NP O
SKIING-WORLD NNP I-NP I-MISC
CUP NNP I-NP I-MISC
BIATHLON NNP I-NP O",[Enter here]
23,test,41413,190,"[11, 27): 'BOBSLEIGH-SHIMER'","[21, 27): 'SHIMER'",BOBSLEIGH-SHIMER NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

BOBSLEIGH-SHIMER NNP I-NP I-MISC
PILOTS NNP I-NP O
USA NNP I-NP I-ORG",[Enter here]
24,test,41595,191,"[11, 25): 'SKIING-CHINESE'","[18, 25): 'CHINESE'",SKIING-CHINESE JJ I-NP I-MISC,"-DOCSTART- -X- -X- O

SKIING-CHINESE JJ I-NP I-MISC
MAKE VB I-VP O
PROMISING NN I-NP O",[Enter here]
25,test,41850,192,"[11, 30): 'BOBSLEIGH-WORLD CUP'","[21, 30): 'WORLD CUP'",BOBSLEIGH-WORLD NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

BOBSLEIGH-WORLD NNP I-NP I-MISC
CUP NNP I-NP I-MISC
TWO-MAN NNP I-NP O",[Enter here]
26,test,42385,194,"[21, 37): 'SKIING-WORLD CUP'","[28, 37): 'WORLD CUP'",SKIING-WORLD NNP I-NP I-MISC,"FREESTYLE NNP I-NP O
SKIING-WORLD NNP I-NP I-MISC
CUP NNP I-NP I-MISC
AERIALS NNP I-NP O",[Enter here]
27,test,46987,214,"[243, 262): 'Saturday'sWorld Cup'","[253, 262): 'World Cup'",Saturday'sWorld NNP B-NP I-MISC,"on IN I-PP O
next JJ I-NP O
Saturday'sWorld NNP B-NP I-MISC
Cup NNP I-NP I-MISC
group NN I-NP O",[Enter here]
0,dev,4120,15,"[41, 51): 'CUNNINGHAM'","[33, 51): 'RANDALL CUNNINGHAM'",CUNNINGHAM NNP I-NP I-PER,"AMERICAN NNP I-NP I-MISC
FOOTBALL-RANDALL NNP I-NP I-MISC
CUNNINGHAM NNP I-NP I-PER
RETIRES NNP I-NP O
. . O O",[Enter here]
1,dev,10619,39,"[11, 23): 'Boxing-Bruno'","[18, 23): 'Bruno'",Boxing-Bruno NN I-NP I-MISC,"-DOCSTART- -X- -X- O

Boxing-Bruno NN I-NP I-MISC
quits VBZ I-VP O
on IN I-PP O",[Enter here]
2,dev,15911,60,"[1358, 1371): 'Tripoli-based'","[1358, 1365): 'Tripoli'",Tripoli-based JJ I-NP I-MISC,". . O O

Tripoli-based JJ I-NP I-MISC
diplomats NNS I-NP O
and CC O O",[Enter here]
3,dev,19233,65,"[1125, 1134): 'asset-St.'","[1131, 1140): 'St. Louis'",asset-St NN I-NP I-MISC,"9.33 CD I-NP O
billion CD I-NP O
asset-St NN I-NP I-MISC
. . O I-MISC",[Enter here]
4,dev,19282,65,"[1359, 1376): 'Minneapolis-based'","[1359, 1370): 'Minneapolis'",Minneapolis-based JJ I-NP I-MISC,"Missouri NNP I-NP I-LOC
are VBP I-VP O
Minneapolis-based JJ I-NP I-MISC
First NNP I-NP I-ORG
Bank NNP I-NP I-ORG",[Enter here]
5,dev,19291,65,"[1419, 1429): 'Ohio-based'","[1419, 1423): 'Ohio'",Ohio-based JJ I-NP I-MISC,"Corp. NNP I-NP I-ORG
, , I-NP O
Ohio-based JJ I-NP I-MISC
KeyCorp NNP I-NP I-ORG
and CC O O",[Enter here]
6,dev,19130,65,"[592, 607): 'St. Louis-based'","[592, 601): 'St. Louis'",St. NNP I-NP I-MISC,""" "" O O

St. NNP I-NP I-MISC
Louis-based JJ I-NP I-MISC
Mercantile NNP I-NP I-ORG",[Enter here]
7,dev,19168,65,"[793, 802): 'Mo.-based'","[793, 796): 'Mo.'",Mo.-based JJ I-NP I-MISC,"City NNP I-NP I-LOC
, , I-NP O
Mo.-based JJ I-NP I-MISC
Commerce NNP I-NP I-ORG
Bancshares NNP I-NP I-ORG",[Enter here]
8,dev,44837,175,"[252, 264): 'London-based'","[252, 258): 'London'",London-based JJ I-NP I-MISC,"A DT I-NP O
London-based JJ I-NP I-MISC
spokesman NN I-NP O
of IN I-PP O",[Enter here]
9,dev,46457,181,"[1761, 1774): 'Moscow-backed'","[1761, 1767): 'Moscow'",Moscow-backed JJ I-NP I-MISC,"Chechnya NNP I-NP I-LOC
and CC I-NP O
Moscow-backed JJ I-NP I-MISC
leader NN I-NP O
Doku NNP B-NP I-PER",[Enter here]
10,dev,50964,198,"[39, 47): 'aid-U.N.'","[43, 47): 'U.N.'",aid-U.N. NN I-NP I-MISC,"Iraqi JJ I-NP I-MISC
military JJ I-NP O
aid-U.N. NN I-NP I-MISC
official NN I-NP O
. . O O",[Enter here]
0,train,17720,80,"[44, 59): 'rebels-Interfax'","[51, 59): 'Interfax'",rebels-Interfax NN I-NP O,"clash NN I-NP O
with IN I-PP O
rebels-Interfax NN I-NP O
. . O O",[Enter here]
1,train,26117,115,"[17, 27): 'FOCUS-News'","[23, 27): 'News'",FOCUS-News JJ I-NP O,"RTRS NNS I-NP I-ORG
- : O O
FOCUS-News JJ I-NP O
forecasts NNS I-NP O
alien-led JJ I-NP O",[Enter here]
2,train,37914,163,"[220, 232): 'x-AEK Athens'","[222, 232): 'AEK Athens'",x-AEK IN I-NP I-ORG,": : O O

x-AEK IN I-NP I-ORG
Athens NNP I-NP I-ORG
( ( O O",[Enter here]
3,train,37926,163,"[271, 283): 'x-Olympiakos'","[273, 283): 'Olympiakos'",x-Olympiakos NNS I-NP I-ORG,") ) O O

x-Olympiakos NNS I-NP I-ORG
v IN I-NP O
Ferencvaros NNP I-NP I-ORG",[Enter here]
4,train,37933,163,"[308, 313): 'x-PAO'","[310, 313): 'PAO'",x-PAO JJ I-NP I-ORG,") ) O O

x-PAO JJ I-NP I-ORG
v IN I-NP O
Legia NNP I-NP I-ORG",[Enter here]
5,train,38844,169,"[50, 61): 'trip-Canada'","[55, 61): 'Canada'",trip-Canada NN I-NP I-MISC,"jeopardize VBP I-VP O
Commonwealth NNP I-NP I-ORG
trip-Canada NN I-NP I-MISC
. . O O",[Enter here]
6,train,44449,198,"[11, 20): 'WSC-India'","[11, 14): 'WSC'",WSC-India NNP I-NP I-ORG,"-DOCSTART- -X- -X- O

WSC-India NNP I-NP I-ORG
Rice NNP I-NP O
Weather NNP I-NP O",[Enter here]
7,train,44449,198,"[11, 20): 'WSC-India'","[15, 20): 'India'",WSC-India NNP I-NP I-ORG,"-DOCSTART- -X- -X- O

WSC-India NNP I-NP I-ORG
Rice NNP I-NP O
Weather NNP I-NP O",[Enter here]
8,train,65636,298,"[49, 60): '1997--Ruehe'","[55, 60): 'Ruehe'",1997--Ruehe CD I-NP I-MISC,"Bosnia NNP I-NP I-LOC
for IN I-PP O
1997--Ruehe CD I-NP I-MISC
. . O O",[Enter here]
9,train,75410,343,"[11, 31): 'AUSTRALIAN RULES-AFL'","[11, 21): 'AUSTRALIAN'",AUSTRALIAN NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

AUSTRALIAN NNP I-NP I-MISC
RULES-AFL NNP I-NP I-MISC
RESULTS NNP I-NP O",[Enter here]
10,train,75410,343,"[11, 31): 'AUSTRALIAN RULES-AFL'","[28, 31): 'AFL'",AUSTRALIAN NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

AUSTRALIAN NNP I-NP I-MISC
RULES-AFL NNP I-NP I-MISC
RESULTS NNP I-NP O",[Enter here]
11,train,95553,422,"[236, 246): 'Videoton(*'","[236, 244): 'Videoton'",Videoton(* NN I-NP I-ORG,"Csepel NN I-NP I-ORG
1 CD I-NP O
Videoton(* NN I-NP I-ORG
) ) O O
1 CD I-NP O",[Enter here]
12,train,102338,444,"[20, 40): 'SCOREBOARD-AUSTRALIA'","[31, 40): 'AUSTRALIA'",SCOREBOARD-AUSTRALIA NNP I-NP I-MISC,"CRICKET NNP I-NP O
- : O O
SCOREBOARD-AUSTRALIA NNP I-NP I-MISC
V NNP I-NP O
ZIMBABWE NNP I-NP I-LOC",[Enter here]
13,train,139024,593,"[45, 57): 'France-Juppe'","[45, 51): 'France'",France-Juppe JJ I-NP I-MISC,"for IN I-PP O
gloomy JJ I-NP O
France-Juppe JJ I-NP I-MISC
. . O O",[Enter here]
14,train,139024,593,"[45, 57): 'France-Juppe'","[52, 57): 'Juppe'",France-Juppe JJ I-NP I-MISC,"for IN I-PP O
gloomy JJ I-NP O
France-Juppe JJ I-NP I-MISC
. . O O",[Enter here]
15,train,146605,626,"[42, 59): 'disarmament-China'","[54, 59): 'China'",disarmament-China NN I-NP I-MISC,"step NN I-NP O
to TO I-VP O
disarmament-China NN I-NP I-MISC
. . O O",[Enter here]
16,train,164709,701,"[17, 30): 'union-England'","[23, 30): 'England'",union-England JJ I-NP I-MISC,"Rugby JJ I-NP O
union-England JJ I-NP I-MISC
given VBN I-PP O
final JJ I-NP O",[Enter here]
17,train,172643,734,"[11, 31): 'BALANCE-Water Dist 1'","[19, 31): 'Water Dist 1'",BALANCE-Water JJ I-NP I-MISC,"-DOCSTART- -X- -X- O

BALANCE-Water JJ I-NP I-MISC
Dist NN I-NP I-MISC
1 CD I-NP I-MISC",[Enter here]
18,train,213462,918,"[11, 24): 'INTERVIEW-T&N'","[21, 24): 'T&N'",INTERVIEW-T&N NNP I-NP I-MISC,"-DOCSTART- -X- -X- O

INTERVIEW-T&N NNP I-NP I-MISC
untroubled VBN I-VP O
by IN I-PP O",[Enter here]
